strategy_version,policy,post_tp1_stop_fib_ratio,asset,timeframe,entry_level,min_distance,min_move,number_of_trades,trades_per_year,initial_capital,final_equity,total_return,annualized_return,net_pnl,gross_pnl,fees,slippage,profit_factor,expectancy,average_r,median_r,win_rate,average_win,average_loss,sharpe_ratio,sortino_ratio,calmar_ratio,maximum_drawdown,average_holding_duration,long_trades,short_trades,long_net_pnl,short_net_pnl,stop_before_tp1_rate,post_tp1_stop_exit_rate,percentage_trades_improved_vs_A,percentage_trades_worsened_vs_A,average_incremental_r_vs_A,comparable_trades_vs_A,early_return,late_return,fees_slippage_ratio,tp1_reach_rate,tp2_reach_rate,tp3_reach_rate,tp4_reach_rate,tp5_reach_rate,long_average_r,long_win_rate,long_post_tp1_stop_rate,short_average_r,short_win_rate,short_post_tp1_stop_rate,warnings,cost_penalty,asset_concentration_penalty,timeframe_concentration_penalty,nearby_parameter_penalty,out_of_sample_consistency_penalty,low_trade_penalty,robust_score,robust_rank,performance_instability_penalty
Strategy_V6_PostTP1StopResearch,A,0.88,ETH,4h,0.9,16,0.0025,52,11.483071342200724,10000.0,17616.79416503692,0.7616794165036922,0.1331057465888478,7616.794165036926,8668.367840685583,1051.5736756486576,210.31509027702424,3.687677682524015,146.47681086609472,0.5603735369423376,0.313194847804588,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,38,14,7533.968497122269,82.82566791465757,0.173076923076923,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.2521000651187579,0.1455739752993544,0.8269230769230769,0.2884615384615384,0.2307692307692307,0.1346153846153846,0.1153846153846153,0.7632609550087529,0.8947368421052632,0.7631578947368421,0.009679116476353,0.6428571428571429,0.5714285714285714,,0.01455739752993545,0.17854525338944663,0.046684407092717706,0.029616054991861762,0.015487966883453603,0.0,0.7508322502481086,1,0.12070897856463426
Strategy_V6_PostTP1StopResearch,A,0.88,ETH,4h,0.9,16,0.005,52,11.483071342200724,10000.0,17616.79416503692,0.7616794165036922,0.1331057465888478,7616.794165036926,8668.367840685583,1051.5736756486576,210.31509027702424,3.687677682524015,146.47681086609472,0.5603735369423376,0.313194847804588,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,38,14,7533.968497122269,82.82566791465757,0.173076923076923,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.2521000651187579,0.1455739752993544,0.8269230769230769,0.2884615384615384,0.2307692307692307,0.1346153846153846,0.1153846153846153,0.7632609550087529,0.8947368421052632,0.7631578947368421,0.009679116476353,0.6428571428571429,0.5714285714285714,,0.01455739752993545,0.17854525338944663,0.046684407092717706,0.029616054991861762,0.015487966883453603,0.0,0.7508322502481086,2,0.12070897856463426
Strategy_V6_PostTP1StopResearch,A,0.88,ETH,4h,0.9,16,0.01,52,11.483071342200724,10000.0,17616.79416503692,0.7616794165036922,0.1331057465888478,7616.794165036926,8668.367840685583,1051.5736756486576,210.31509027702424,3.687677682524015,146.47681086609472,0.5603735369423376,0.313194847804588,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,38,14,7533.968497122269,82.82566791465757,0.173076923076923,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.2521000651187579,0.1455739752993544,0.8269230769230769,0.2884615384615384,0.2307692307692307,0.1346153846153846,0.1153846153846153,0.7632609550087529,0.8947368421052632,0.7631578947368421,0.009679116476353,0.6428571428571429,0.5714285714285714,,0.01455739752993545,0.17854525338944663,0.046684407092717706,0.029616054991861762,0.015487966883453603,0.0,0.7508322502481086,3,0.12070897856463426
Strategy_V6_PostTP1StopResearch,A,0.88,ETH,4h,0.9,16,0.02,52,11.483071342200724,10000.0,17616.79416503692,0.7616794165036922,0.1331057465888478,7616.794165036926,8668.367840685583,1051.5736756486576,210.31509027702424,3.687677682524015,146.47681086609472,0.5603735369423376,0.313194847804588,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,38,14,7533.968497122269,82.82566791465757,0.173076923076923,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.2521000651187579,0.1455739752993544,0.8269230769230769,0.2884615384615384,0.2307692307692307,0.1346153846153846,0.1153846153846153,0.7632609550087529,0.8947368421052632,0.7631578947368421,0.009679116476353,0.6428571428571429,0.5714285714285714,,0.01455739752993545,0.17854525338944663,0.046684407092717706,0.029616054991861762,0.015487966883453603,0.0,0.7508322502481086,4,0.12070897856463426
Strategy_V6_PostTP1StopResearch,A,0.88,ETH,4h,0.9,16,0.03,52,11.483071342200724,10000.0,17616.79416503692,0.7616794165036922,0.1331057465888478,7616.794165036926,8668.367840685583,1051.5736756486576,210.31509027702424,3.687677682524015,146.47681086609472,0.5603735369423376,0.313194847804588,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,38,14,7533.968497122269,82.82566791465757,0.173076923076923,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.2521000651187579,0.1455739752993544,0.8269230769230769,0.2884615384615384,0.2307692307692307,0.1346153846153846,0.1153846153846153,0.7632609550087529,0.8947368421052632,0.7631578947368421,0.009679116476353,0.6428571428571429,0.5714285714285714,,0.01455739752993545,0.17854525338944663,0.046684407092717706,0.029616054991861762,0.015487966883453603,0.0,0.7508322502481086,5,0.12070897856463426
Strategy_V6_PostTP1StopResearch,A,0.88,ETH,4h,0.9,16,0.05,52,11.483071342200724,10000.0,17616.79416503692,0.7616794165036922,0.1331057465888478,7616.794165036926,8668.367840685583,1051.5736756486576,210.31509027702424,3.687677682524015,146.47681086609472,0.5603735369423376,0.313194847804588,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,38,14,7533.968497122269,82.82566791465757,0.173076923076923,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.2521000651187579,0.1455739752993544,0.8269230769230769,0.2884615384615384,0.2307692307692307,0.1346153846153846,0.1153846153846153,0.7632609550087529,0.8947368421052632,0.7631578947368421,0.009679116476353,0.6428571428571429,0.5714285714285714,,0.01455739752993545,0.17854525338944663,0.046684407092717706,0.029616054991861762,0.015487966883453603,0.0,0.7508322502481086,6,0.12070897856463426
Strategy_V6_PostTP1StopResearch,C,0.786,ETH,4h,0.9,16,0.0025,56,12.366384522370012,10000.0,20985.537648752488,1.0985537648752488,0.1777155493582158,10985.537648752466,12226.71508921825,1241.1774404657842,248.2359870911772,4.188006230160107,196.17031515629404,0.6749056725602827,0.854407556418928,0.8214285714285714,313.7268166254709,-344.58959160191966,2.1406864098851965,0.5973450641738638,2.956561537724447,-0.0601088619636839,13.142857142857142,40,16,9654.889842851517,1330.6478059009523,0.1785714285714285,0.7857142857142857,0.6730769230769231,0.1153846153846153,0.1323829325244902,52,0.4211305954291333,0.4766790410571357,0.121816319157576,0.8214285714285714,0.1607142857142857,0.1071428571428571,0.0535714285714285,0.0357142857142857,0.8295692429562953,0.9,0.875,0.2882467465702509,0.625,0.5625,,0.012181631915757605,0.131738375738023,0.10940422326911642,0.01599484572748661,0.005554844562800244,0.0,0.7298264749028099,7,0.2708792736798826
Strategy_V6_PostTP1StopResearch,C,0.786,ETH,4h,0.9,16,0.005,56,12.366384522370012,10000.0,20985.537648752488,1.0985537648752488,0.1777155493582158,10985.537648752466,12226.71508921825,1241.1774404657842,248.2359870911772,4.188006230160107,196.17031515629404,0.6749056725602827,0.854407556418928,0.8214285714285714,313.7268166254709,-344.58959160191966,2.1406864098851965,0.5973450641738638,2.956561537724447,-0.0601088619636839,13.142857142857142,40,16,9654.889842851517,1330.6478059009523,0.1785714285714285,0.7857142857142857,0.6730769230769231,0.1153846153846153,0.1323829325244902,52,0.4211305954291333,0.4766790410571357,0.121816319157576,0.8214285714285714,0.1607142857142857,0.1071428571428571,0.0535714285714285,0.0357142857142857,0.8295692429562953,0.9,0.875,0.2882467465702509,0.625,0.5625,,0.012181631915757605,0.131738375738023,0.10940422326911642,0.01599484572748661,0.005554844562800244,0.0,0.7298264749028099,8,0.2708792736798826
Strategy_V6_PostTP1StopResearch,C,0.786,ETH,4h,0.9,16,0.01,56,12.366384522370012,10000.0,20985.537648752488,1.0985537648752488,0.1777155493582158,10985.537648752466,12226.71508921825,1241.1774404657842,248.2359870911772,4.188006230160107,196.17031515629404,0.6749056725602827,0.854407556418928,0.8214285714285714,313.7268166254709,-344.58959160191966,2.1406864098851965,0.5973450641738638,2.956561537724447,-0.0601088619636839,13.142857142857142,40,16,9654.889842851517,1330.6478059009523,0.1785714285714285,0.7857142857142857,0.6730769230769231,0.1153846153846153,0.1323829325244902,52,0.4211305954291333,0.4766790410571357,0.121816319157576,0.8214285714285714,0.1607142857142857,0.1071428571428571,0.0535714285714285,0.0357142857142857,0.8295692429562953,0.9,0.875,0.2882467465702509,0.625,0.5625,,0.012181631915757605,0.131738375738023,0.10940422326911642,0.01599484572748661,0.005554844562800244,0.0,0.7298264749028099,9,0.2708792736798826
Strategy_V6_PostTP1StopResearch,C,0.786,ETH,4h,0.9,16,0.02,56,12.366384522370012,10000.0,20985.537648752488,1.0985537648752488,0.1777155493582158,10985.537648752466,12226.71508921825,1241.1774404657842,248.2359870911772,4.188006230160107,196.17031515629404,0.6749056725602827,0.854407556418928,0.8214285714285714,313.7268166254709,-344.58959160191966,2.1406864098851965,0.5973450641738638,2.956561537724447,-0.0601088619636839,13.142857142857142,40,16,9654.889842851517,1330.6478059009523,0.1785714285714285,0.7857142857142857,0.6730769230769231,0.1153846153846153,0.1323829325244902,52,0.4211305954291333,0.4766790410571357,0.121816319157576,0.8214285714285714,0.1607142857142857,0.1071428571428571,0.0535714285714285,0.0357142857142857,0.8295692429562953,0.9,0.875,0.2882467465702509,0.625,0.5625,,0.012181631915757605,0.131738375738023,0.10940422326911642,0.01599484572748661,0.005554844562800244,0.0,0.7298264749028099,10,0.2708792736798826
