strategy_version,stop_policy,post_tp1_stop_fib_ratio,asset,timeframe,entry_level,min_distance,min_move,v6_selection_policy,v6_selection_robust_rank,v6_selection_robust_score,number_of_trades,trades_per_year,initial_capital,final_equity,total_return,annualized_return,net_pnl,gross_pnl,profit_factor,expectancy,average_r,median_r,win_rate,average_win,average_loss,sharpe_ratio,sortino_ratio,calmar_ratio,maximum_drawdown,average_holding_duration,fees,slippage,stop_before_tp1_rate,post_tp1_stop_exit_rate,percentage_trades_improved_vs_0880,percentage_trades_worsened_vs_0880,average_incremental_r_vs_0880,comparable_trades_vs_0880,early_return,late_return,tp1_reach_rate,tp2_reach_rate,tp3_reach_rate,tp4_reach_rate,tp5_reach_rate,warnings,stop_neighborhood_penalty,placement_instability_penalty,consistency_penalty,cost_penalty,low_trade_penalty,robust_score,robust_rank
Strategy_V6_5_PostTP1StopPlacement,Fib 0.830,0.83,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,19818.742188862434,0.9818742188862435,0.16294159272163178,9818.742188862434,11019.762460126563,3.9848658246411124,175.33468194397204,0.6252182820860674,0.6027808416101634,0.8214285714285714,284.96197650303156,-328.9508730277014,1.9336926385629158,0.7943920909339156,2.638351956362129,-0.06175885379079693,43.5,1201.0202712641299,240.2045046514815,0.17857142857142858,0.75,0.6538461538461539,0.09615384615384616,0.05880448272169225,52,0.39869513509024723,0.4169451005907503,0.8214285714285714,0.23214285714285715,0.17857142857142858,0.10714285714285714,0.07142857142857142,,0.05802838068173476,0.10330903611738872,0.0036495879303354915,0.01307854666677687,0.0,1.0647978604834496,1
Strategy_V6_5_PostTP1StopPlacement,Fib 0.820,0.82,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,19639.06778376299,0.9639067783762989,0.1606067095312873,9639.067783762988,10828.8535539886,3.9582201734555227,172.12621042433906,0.616377728774031,0.6577571468678729,0.8214285714285714,280.3797577293004,-325.8401071784832,1.9450016065843958,0.712814578434322,2.6164324126454623,-0.06138385564827131,33.0,1189.785770225611,237.95759671754496,0.17857142857142858,0.75,0.6346153846153846,0.11538461538461539,0.07933697803373532,52,0.39589687576206,0.40691394362792455,0.8214285714285714,0.19642857142857142,0.14285714285714285,0.08928571428571429,0.07142857142857142,,0.05443489257974584,0.10918990747617299,0.0022033244304839055,0.013184621620607975,0.0,1.062255799853906,2
Strategy_V6_5_PostTP1StopPlacement,Fib 0.850,0.85,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,18225.853663502552,0.8225853663502551,0.14163653094380635,8225.853663502545,9370.702897042636,3.635275226443494,146.89024399111688,0.5494823635127083,0.48694644408793464,0.8214285714285714,246.68029835809904,-312.14400609700124,1.697290126804953,0.695507105148133,2.265863646058818,-0.06250885007584861,44.42857142857143,1144.8492335400917,228.9702306949234,0.17857142857142858,0.75,0.6538461538461539,0.09615384615384616,-0.018786584629579876,52,0.353074694217683,0.3469953832844628,0.8214285714285714,0.23214285714285715,0.17857142857142858,0.10714285714285714,0.07142857142857142,,0.02617061017453709,0.08673511494249277,0.0012158472082452274,0.014660794172319648,0.0,1.0606354580923376,3
Strategy_V6_5_PostTP1StopPlacement,Fib 0.840,0.84,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,19006.050385383307,0.9006050385383306,0.15224561324290575,9006.05038538331,10178.577849587438,3.8107101530179803,160.82232831041625,0.5873503227993895,0.544863642849049,0.8214285714285714,265.4400162684045,-320.41903629632986,1.8175580238121982,0.7400730797572245,2.450284482704922,-0.06213385193332266,43.5,1172.527464204128,234.50590936415375,0.17857142857142858,0.75,0.6538461538461539,0.09615384615384616,0.02000894904605762,52,0.3757081569134242,0.38154668123984914,0.8214285714285714,0.23214285714285715,0.17857142857142858,0.10714285714285714,0.07142857142857142,,0.04177454461215219,0.10349156438861375,0.0011676915970821773,0.013823477055051575,0.0,1.0582033517060168,4
Strategy_V6_5_PostTP1StopPlacement,Fib 0.860,0.86,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,17476.776068655923,0.7476776068655924,0.1311121632819452,7476.776068655922,8594.989048955165,3.458512418753712,133.51385836885575,0.5116068192883515,0.4290292453268203,0.8214285714285714,228.6511947528529,-304.1178889975309,1.5673878978036975,0.6315294554328406,2.084989500430022,-0.06288384821837412,45.285714285714285,1118.2129802992422,223.64294880510647,0.17857142857142858,0.75,0.6730769230769231,0.07692307692307693,-0.05759028669963717,52,0.3307896825409675,0.3132635680858544,0.8214285714285714,0.23214285714285715,0.17857142857142858,0.10714285714285714,0.07142857142857142,,0.016789782132844464,0.0749930415112275,0.0035048640415478033,0.015612072586264309,0.0,1.0435250507138407,5
Strategy_V6_5_PostTP1StopPlacement,Fib 0.880,0.88,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,52,11.483071342200725,10000.0,17616.79416503692,0.7616794165036922,0.13310574658884788,7616.794165036926,8668.367840685583,3.687677682524015,146.47681086609472,0.5603735369423376,0.31319484780458806,0.8269230769230769,243.04099458630137,-314.8854002415592,1.5643540094684876,0.8020548165527833,2.0014534844016945,-0.066504541637468,87.3076923076923,1051.5736756486576,210.31509027702424,0.17307692307692307,0.7115384615384616,0.0,0.0,0.0,52,0.4069797339532939,0.25210006511875793,0.8269230769230769,0.28846153846153844,0.23076923076923078,0.1346153846153846,0.11538461538461539,,0.0139894202052245,0.0826392033911823,0.030730606840124377,0.01455739752993545,0.0,1.0145156807336917,6
Strategy_V6_5_PostTP1StopPlacement,Fib 0.786,0.786,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,20985.537648752488,1.0985537648752488,0.17771554935821587,10985.537648752466,12226.71508921825,4.188006230160107,196.17031515629404,0.6749056725602827,0.854407556418928,0.8214285714285714,313.7268166254709,-344.58959160191966,2.1406864098851965,0.5973450641738638,2.956561537724447,-0.060108861963683924,13.142857142857142,1241.1774404657842,248.23598709117718,0.17857142857142858,0.7857142857142857,0.6730769230769231,0.11538461538461539,0.13238293252449027,52,0.42113059542913334,0.47667904105713577,0.8214285714285714,0.16071428571428573,0.10714285714285714,0.05357142857142857,0.03571428571428571,,0.08136428987953581,0.16968129693956988,0.011098276415564691,0.012181631915757605,0.0,1.0012541746454484,7
Strategy_V6_5_PostTP1StopPlacement,Fib 0.870,0.87,ETH,4h,0.9,16,0.0025,C,7,0.7298264749028099,56,12.366384522370012,10000.0,16931.51210870526,0.6931512108705262,0.12322800884113949,6931.5121087052685,8031.356357806157,3.3209658780082414,123.77700194116551,0.48306998691798736,0.3711120465657013,0.8214285714285714,215.60846727953611,-298.64773861533934,1.4667160798224355,0.6011431537109139,1.9473974679300363,-0.0632783039263799,48.285714285714285,1099.8442491008886,219.96917987317374,0.17857142857142858,0.75,0.6923076923076923,0.057692307692307696,-0.08633691446539536,52,0.30884812465907996,0.2936193122571398,0.8214285714285714,0.25,0.17857142857142858,0.10714285714285714,0.07142857142857142,,0.027695061331857694,0.07576291502518377,0.003045527047806248,0.016433256976466453,0.0,1.0008522445405985,8
Strategy_V6_5_PostTP1StopPlacement,Fib 0.870,0.87,ETH,1d,0.9,4,0.0025,C,102,0.580670293237915,39,8.617513611615246,10000.0,17258.689926698426,0.7258689926698425,0.1280642902604241,7258.689926698421,7951.290961878575,4.118563747815799,186.12025453072874,0.7172776299090718,0.8585678040515696,0.8205128205128205,299.5707680506187,-332.5106644173397,1.769094082464254,1.5534276339372088,1.7970651946420841,-0.07126301852723282,288.61538461538464,692.6010351801535,138.5205306284776,0.1794871794871795,0.717948717948718,0.717948717948718,0.0,0.03024696616187958,39,0.1999380637813939,0.43829839619477506,0.8205128205128205,0.5128205128205128,0.2564102564102564,0.1282051282051282,0.10256410256410256,,0.0231887454032516,0.07576291502518377,0.04678928363628208,0.010452661961351117,0.0,1.0004863022445565,9
Strategy_V6_5_PostTP1StopPlacement,Fib 0.786,0.786,ETH,1d,0.9,4,0.0025,C,102,0.580670293237915,45,9.94328493647913,10000.0,19168.49248447369,0.9168492484473689,0.15451194363130938,9168.492484473685,10003.500797670422,4.264793118278808,203.74427743274856,0.7359174474991923,0.9123653336286863,0.8222222222222222,323.69687869350173,-351.0365033982344,2.1221996537022787,0.9370523305911631,2.168192518708187,-0.07126301852723294,49.06666666666667,835.0083131967368,167.00206945944652,0.17777777777777778,0.8222222222222222,0.6666666666666666,0.15384615384615385,0.058725515010124026,39,0.3430388822645061,0.4272477690410257,0.8222222222222222,0.4222222222222222,0.13333333333333333,0.0,0.0,,0.061384796558756886,0.16968129693956988,0.01680208083421207,0.010016597218541012,0.0,0.9823712353255638,10
